case_id,t_fips,p_name,p_year,t_cap,,,,,,,
3007157,6065,Mesa Wind Farm,1983,65,,,,,,,
3004203,6065,Mesa Wind Farm,1983,65,,,,,,,
3010845,6065,Mesa Wind Farm,1983,65,,,,,,,
3010013,6065,Mesa Wind Farm,1983,65,,,,,,,
3006484,6065,Mesa Wind Farm,1983,65,,,,,,,
3009100,6065,Mesa Wind Farm,1983,65,,,,,,,
3005664,6065,Mesa Wind Farm,1983,65,,,,,,,
3008618,6065,Mesa Wind Farm,1983,65,,,,,,,
3004342,6065,Mesa Wind Farm,1983,65,,,,,,,
3001178,6065,Mesa Wind Farm,1983,65,,,,,,,
3002114,6065,Mesa Wind Farm,1983,65,,,,,,,
3010858,6065,Mesa Wind Farm,1983,65,,,,,,,
3004141,6065,Mesa Wind Farm,1983,65,,,,,,,
3003826,6065,Mesa Wind Farm,1983,65,,,,,,,
3007610,6065,Mesa Wind Farm,1983,65,,,,,,,
3003008,6065,Mesa Wind Farm,1983,65,,,,,,,
3010122,6065,Mesa Wind Farm,1983,65,,,,,,,
3009111,6065,Mesa Wind Farm,1983,65,,,,,,,
3009068,6065,Mesa Wind Farm,1983,65,,,,,,,
3005906,6065,Mesa Wind Farm,1983,65,,,,,,,
3000146,6065,Mesa Wind Farm,1983,65,,,,,,,
3000354,6065,Mesa Wind Farm,1983,65,,,,,,,
3001973,6065,Mesa Wind Farm,1983,65,,,,,,,
3003484,6065,Mesa Wind Farm,1983,65,,,,,,,
3002362,6065,Mesa Wind Farm,1983,65,,,,,,,
3000016,6065,Mesa Wind Farm,1983,65,,,,,,,
3000287,6065,Mesa Wind Farm,1983,65,,,,,,,
3008583,6065,Mesa Wind Farm,1983,65,,,,,,,
3009208,6065,Mesa Wind Farm,1983,65,,,,,,,
3007120,6065,Mesa Wind Farm,1983,65,,,,,,,
3001608,6065,Mesa Wind Farm,1983,65,,,,,,,
3005710,6065,Mesa Wind Farm,1983,65,,,,,,,
3007703,6065,Mesa Wind Farm,1983,65,,,,,,,
3003904,6065,Mesa Wind Farm,1983,65,,,,,,,
3000876,6065,Mesa Wind Farm,1983,65,,,,,,,
3002827,6065,Mesa Wind Farm,1983,65,,,,,,,
3005121,6065,Mesa Wind Farm,1983,65,,,,,,,
3008304,6065,Mesa Wind Farm,1983,65,,,,,,,
3010085,6065,Mesa Wind Farm,1983,65,,,,,,,
3005315,6065,Mesa Wind Farm,1983,65,,,,,,,
3000364,6065,Mesa Wind Farm,1983,65,,,,,,,
3004731,6065,Mesa Wind Farm,1983,65,,,,,,,
3007403,6065,Mesa Wind Farm,1983,65,,,,,,,
3010587,6065,Mesa Wind Farm,1983,65,,,,,,,
3004942,6065,Mesa Wind Farm,1983,65,,,,,,,
3004367,6065,Mesa Wind Farm,1983,65,,,,,,,
3005361,6065,Mesa Wind Farm,1983,65,,,,,,,
3007501,6065,Mesa Wind Farm,1983,65,,,,,,,
3003327,6065,Mesa Wind Farm,1983,65,,,,,,,
3004037,6065,Mesa Wind Farm,1983,65,,,,,,,
3004081,6065,Mesa Wind Farm,1983,65,,,,,,,
3001207,6065,Mesa Wind Farm,1983,65,,,,,,,
3008876,6065,Mesa Wind Farm,1983,65,,,,,,,
3006251,6065,Mesa Wind Farm,1983,65,,,,,,,
3004983,6065,Mesa Wind Farm,1983,65,,,,,,,
3009885,6065,Mesa Wind Farm,1983,65,,,,,,,
3011015,6065,Mesa Wind Farm,1983,65,,,,,,,
3005324,6065,Mesa Wind Farm,1983,65,,,,,,,
3005753,6065,Mesa Wind Farm,1983,65,,,,,,,
3005598,6065,Mesa Wind Farm,1983,65,,,,,,,
3000774,6065,Mesa Wind Farm,1983,65,,,,,,,
3009165,6065,Mesa Wind Farm,1983,65,,,,,,,
3004362,6065,Mesa Wind Farm,1983,65,,,,,,,
3001872,6065,Mesa Wind Farm,1983,65,,,,,,,
3001594,6065,Mesa Wind Farm,1983,65,,,,,,,
3004965,6065,Mesa Wind Farm,1983,65,,,,,,,
3005051,6065,Mesa Wind Farm,1983,65,,,,,,,
3001429,6065,Mesa Wind Farm,1983,65,,,,,,,
3010811,6065,Mesa Wind Farm,1983,65,,,,,,,
3003996,6065,Mesa Wind Farm,1983,65,,,,,,,
3007463,6065,Mesa Wind Farm,1983,65,,,,,,,
3010924,6065,Mesa Wind Farm,1983,65,,,,,,,
3001329,6065,Mesa Wind Farm,1983,65,,,,,,,
3005423,6065,Mesa Wind Farm,1983,65,,,,,,,
3009393,6065,Mesa Wind Farm,1983,65,,,,,,,
3008457,6065,Mesa Wind Farm,1983,65,,,,,,,
3009951,6065,Mesa Wind Farm,1983,65,,,,,,,
3004144,6065,Mesa Wind Farm,1983,65,,,,,,,
3004603,6065,Mesa Wind Farm,1983,65,,,,,,,
3008424,6065,Mesa Wind Farm,1983,65,,,,,,,
3004177,6065,Mesa Wind Farm,1983,65,,,,,,,
3010836,6065,Mesa Wind Farm,1983,65,,,,,,,
3009699,6065,Mesa Wind Farm,1983,65,,,,,,,
3005276,6065,Mesa Wind Farm,1983,65,,,,,,,
3004673,6065,Mesa Wind Farm,1983,65,,,,,,,
3007800,6065,Mesa Wind Farm,1983,65,,,,,,,
3011294,6065,Mesa Wind Farm,1983,65,,,,,,,
3005329,6065,Mesa Wind Farm,1983,65,,,,,,,
3010500,6065,Mesa Wind Farm,1983,65,,,,,,,
3007448,6065,Mesa Wind Farm,1983,65,,,,,,,
3008071,6065,Mesa Wind Farm,1983,65,,,,,,,
3006745,6065,Mesa Wind Farm,1983,65,,,,,,,
3011252,6065,Mesa Wind Farm,1983,65,,,,,,,
3010053,6065,Mesa Wind Farm,1983,65,,,,,,,
3008976,6065,Mesa Wind Farm,1983,65,,,,,,,
3004070,6065,Mesa Wind Farm,1983,65,,,,,,,
3004124,6065,Mesa Wind Farm,1983,65,,,,,,,
3001412,6065,Mesa Wind Farm,1983,65,,,,,,,
3008967,6065,Mesa Wind Farm,1983,65,,,,,,,
3010560,6065,Mesa Wind Farm,1983,65,,,,,,,
3001985,6065,Mesa Wind Farm,1983,65,,,,,,,
3009459,6065,Mesa Wind Farm,1983,65,,,,,,,
3010396,6065,Mesa Wind Farm,1983,65,,,,,,,
3001676,6065,Mesa Wind Farm,1983,65,,,,,,,
3005307,6065,Mesa Wind Farm,1983,65,,,,,,,
3000311,6065,Mesa Wind Farm,1983,65,,,,,,,
3003371,6065,Mesa Wind Farm,1983,65,,,,,,,
3004007,6065,Mesa Wind Farm,1983,65,,,,,,,
3003591,6065,Mesa Wind Farm,1983,65,,,,,,,
3009138,6065,Mesa Wind Farm,1983,65,,,,,,,
3005856,6065,Mesa Wind Farm,1983,65,,,,,,,
3000359,6065,Mesa Wind Farm,1983,65,,,,,,,
3001714,6065,Mesa Wind Farm,1983,65,,,,,,,
3003828,6065,Mesa Wind Farm,1983,65,,,,,,,
3007512,6065,Mesa Wind Farm,1983,65,,,,,,,
3007050,6065,Mesa Wind Farm,1983,65,,,,,,,
3009053,6065,Mesa Wind Farm,1983,65,,,,,,,
3001944,6065,Mesa Wind Farm,1983,65,,,,,,,
3008974,6065,Mesa Wind Farm,1983,65,,,,,,,
3007406,6065,Mesa Wind Farm,1983,65,,,,,,,
3004812,6065,Mesa Wind Farm,1983,65,,,,,,,
3000566,6065,Mesa Wind Farm,1983,65,,,,,,,
3002046,6065,Mesa Wind Farm,1983,65,,,,,,,
3009303,6065,Mesa Wind Farm,1983,65,,,,,,,
3003662,6065,Mesa Wind Farm,1983,65,,,,,,,
3005055,6065,Mesa Wind Farm,1983,65,,,,,,,
3005263,6065,Mesa Wind Farm,1983,65,,,,,,,
3008381,6065,Mesa Wind Farm,1983,65,,,,,,,
3010073,6065,Mesa Wind Farm,1983,65,,,,,,,
3005630,6065,Mesa Wind Farm,1983,65,,,,,,,
3003254,6065,Mesa Wind Farm,1983,65,,,,,,,
3004436,6065,Mesa Wind Farm,1983,65,,,,,,,
3000453,6065,Mesa Wind Farm,1983,65,,,,,,,
